"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:22:17.5197421 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\TextInputFramework.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5198122 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\TextInputFramework.dll","SUCCESS","CreationTime: 2/15/2023 6:59:18 AM, LastAccessTime: 2/24/2023 10:22:06 AM, LastWriteTime: 2/15/2023 6:59:18 AM, ChangeTime: 2/15/2023 7:43:58 PM, FileAttributes: A"
"10:22:17.5198525 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\TextInputFramework.dll","SUCCESS",""
"10:22:17.5202099 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\TextInputFramework.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5203016 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\TextInputFramework.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_WRITECOPY"
"10:22:17.5203662 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\TextInputFramework.dll","SUCCESS","SyncType: SyncTypeOther"
"10:22:17.5205658 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\TextInputFramework.dll","SUCCESS","Image Base: 0x7ff829fb0000, Image Size: 0xf9000"
"10:22:17.5207530 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\TextInputFramework.dll","SUCCESS",""
"10:22:17.5216021 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5216417 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\CoreMessaging.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5216485 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","CreationTime: 2/25/2022 9:24:00 PM, LastAccessTime: 2/24/2023 10:22:06 AM, LastWriteTime: 2/25/2022 9:24:00 PM, ChangeTime: 2/15/2023 7:00:06 AM, FileAttributes: A"
"10:22:17.5216718 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\CoreUIComponents.dll","SUCCESS",""
"10:22:17.5216932 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\CoreMessaging.dll","SUCCESS","CreationTime: 11/9/2022 7:16:24 AM, LastAccessTime: 2/24/2023 10:22:09 AM, LastWriteTime: 11/9/2022 7:16:24 AM, ChangeTime: 2/15/2023 7:00:06 AM, FileAttributes: A"
"10:22:17.5217134 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\CoreMessaging.dll","SUCCESS",""
"10:22:17.5219938 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5220699 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\CoreUIComponents.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE"
"10:22:17.5221105 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","SyncType: SyncTypeOther"
"10:22:17.5221471 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\CoreMessaging.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5222249 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\CoreMessaging.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE"
"10:22:17.5222696 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\CoreMessaging.dll","SUCCESS","SyncType: SyncTypeOther"
"10:22:17.5222732 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\CoreUIComponents.dll","SUCCESS","Image Base: 0x7ff8460a0000, Image Size: 0x35e000"
"10:22:17.5224627 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\CoreMessaging.dll","SUCCESS","Image Base: 0x7ff846400000, Image Size: 0xf2000"
"10:22:17.5226323 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\SHCore.dll","SUCCESS","Image Base: 0x7ff84b2e0000, Image Size: 0xad000"
"10:22:17.5227866 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\ws2_32.dll","SUCCESS","Image Base: 0x7ff84b7a0000, Image Size: 0x6b000"
"10:22:17.5229084 AM","sample_create_window.exe","8296","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7ff84a350000, Image Size: 0xae000"
"10:22:17.5230847 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\CoreUIComponents.dll","SUCCESS",""
"10:22:17.5230966 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\CoreMessaging.dll","SUCCESS",""
"10:22:17.5241058 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\ntmarta.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.5241971 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\ntmarta.dll","SUCCESS","CreationTime: 2/25/2022 9:24:12 PM, LastAccessTime: 2/24/2023 10:22:12 AM, LastWriteTime: 2/25/2022 9:24:12 PM, ChangeTime: 2/15/2023 7:00:06 AM, FileAttributes: A"
"10:22:17.5242333 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\ntmarta.dll","SUCCESS",""
